ID,TemporaryMark,Gender,AutonomousCommunity,SchoolOwnership,Pond,PondMax3,KindOfPlace,Income,LivingUnit,DependentPersons,WorkConfinement,WorkConfinementsSecondAdult,ChildEarlyEducation1,ChildEarlyEducation2,ChildPrimaryEducation,ChildSecondaryEducation,ChildBaccaleaurate,ChildVocationalTraining,ChildrenSpecialNeeds,WorkloadChange,HouseworkMore,Sleep,Leisure,Sports,Friends,ExtendedFamily,Past,Future,Sex,Reconciling,DomesticHelp,Tired,TimeOff,InterruptChildren,InterruptChildrenFrequency,ChildrenSchookwork,ShareElectronicDevices,Bedtime,PositiveImpact,Bonding,BondingNeighbours,TastesAndAbilities,Responsability,Adaptarion,Understanding,NegativeImpact,Anxiety,Loneliness,Sadness,LossFamilyMember,FinancialLoss,Arguments,AlcoholMedicationDrug,TechnologyUse,NegativeImpactOther,NegativeImpactNoanswer,ChildPhysicalActivity,ChildScreens,ChildSleep,ChildDiet,ChildFear,ChildFrustation,Irritability,Boredom,ChildFake,ChildIFriends,ChildFriendship,ChildSpace,ChildIntrospection,ChildLeavingHome,ChildNoVariation,ChildNoAnswers,ChildMissExercise,ChildMissFriends,ChildMissExperience,ChildMissContents,ChildMissGroup,ChildMissExam,ChildMissTeacher,HelpOnline,SchoolCommunication,ParentsGroups,ParentsCommunicationReturn,SchoolFees,ChallengeContent,ChallengeMonitoring,ChallengeEmotionalSupport,ChallengeNeeds,ChallengeEvaluation,ChallengeCommunication,ChallengeOnline,ChallengeEquipment,ChallengeVulnerable,ChallengeAny,PriorityCustody,PriorityContent,PriorityAutonomy,PrioritySocialisation,PriorityEmotional,FamiliesCollaboration,SchoolSpace,SpaceBarracks,SpacePorch,SpaceDining,SpaceHall,SpaceGym,SpaceOther,SpaceNone,SpaceStreet,SpacePlots,SpaceParks,SpacePublic,SpaceSurroundingOther,SpaceSurroundingNone,ActivitiesOutside,Selección,filter_,SchoolOwnership1
67,2020/07/02 6:05:49 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,40772,2,0,1,1,1,0,0,0,0,0,0,5,2,,1,2,3,1,4,4,2,2,0,2,0,1,3,2,1,1,2,1,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,4,2,3,2,,0,0,0,0,0,0,0,0,0,1,3,2,3,3,3,3,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,Público
68,2020/07/02 7:40:38 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,40772,2,0,0,1,0,0,1,0,0,0,0,3,1,4,1,4,4,3,3,3,2,0,0,1,0,1,2,,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,,2,4,1,1,0,0,1,0,0,0,0,0,1,0,2,2,3,3,3,3,2,0,0,0,0,1,1,0,0,0,1,1,0,0,3,1,1,Concertado
69,2020/07/02 9:10:17 p. m. EET,2,PAIS VASCO,Privado,4.42,3,2,40772,2,0,0,1,0,0,1,0,0,0,0,7,2,1,2,1,2,1,4,2,1,2,0,2,1,1,2,3,0,1,2,1,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3,2,2,3,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,3,1,1,Privado
70,2020/07/03 1:21:05 a. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,40772,2,0,1,1,0,0,1,1,0,0,0,3,2,2,4,4,4,4,3,1,3,2,0,2,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,1,1,0,1,0,1,0,0,0,0,1,1,0,0,3,1,1,Público
71,2020/07/03 1:29:04 a. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,40772,2,0,1,0,0,1,0,0,0,0,0,1,2,2,1,1,1,3,4,4,1,2,0,2,0,0,,3,1,0,2,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,3,1,1,2,,1,1,1,0,1,1,1,1,0,0,3,3,3,3,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,Público
72,2020/07/02 10:04:39 p. m. EET,2,PAIS VASCO,Privado,4.42,3,2,32135,1,0,1,1,0,0,0,1,0,0,0,5,2,2,1,2,1,1,4,1,1,2,2,2,0,1,1,3,1,1,2,1,0,1,0,1,0,2,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,3,2,1,2,1,1,0,1,0,1,1,1,0,0,0,2,3,3,3,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,1,Privado
73,2020/07/02 9:59:57 p. m. EET,1,PAIS VASCO,Concertado,.03,.03,2,30450,2,0,1,0,1,1,0,0,0,0,0,1,2,2,1,1,2,4,4,3,1,2,0,2,0,1,1,2,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,3,2,3,2,1,0,0,0,0,0,1,1,0,0,0,2,3,3,3,2,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,Concertado
74,2020/07/02 10:22:41 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,41883,2,0,1,1,0,0,1,0,0,0,0,5,2,2,2,3,2,2,4,4,3,2,0,2,0,0,,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,3,2,2,2,,0,0,0,0,0,0,0,0,0,1,3,3,3,3,2,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,2,1,1,Público
75,2020/07/02 11:28:04 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,41883,2,0,0,1,0,1,0,0,0,0,0,5,2,2,2,1,3,2,4,4,3,2,2,1,0,0,,2,1,1,2,1,0,1,0,1,0,2,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,4,2,2,2,1,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,1,0,1,1,1,0,1,0,1,0,1,1,1,0,2,1,1,Concertado
76,2020/07/02 4:27:05 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,41883,2,0,1,1,0,0,1,1,0,0,0,4,2,3,1,2,3,4,4,3,3,2,0,2,2,0,,3,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,3,2,3,2,2,0,0,0,0,0,0,0,0,0,1,2,2,2,3,2,3,1,0,0,1,0,1,0,0,0,1,1,0,0,0,2,1,1,Concertado
